Date,Year,Month,Day,Sales
1/1/2019,2019,1,1,54919349.17
1/2/2019,2019,1,2,40544778.09
1/3/2019,2019,1,3,34414602.23
1/4/2019,2019,1,4,14395892.61
1/5/2019,2019,1,5,33282996.61
1/6/2019,2019,1,6,34727374.5
1/7/2019,2019,1,7,31618330.42
1/8/2019,2019,1,8,30075726.18
1/9/2019,2019,1,9,32765220.41
1/10/2019,2019,1,10,27829022.43
1/11/2019,2019,1,11,11647694.32
1/12/2019,2019,1,12,32611101.37
1/13/2019,2019,1,13,33615548.62
1/14/2019,2019,1,14,31634888.45
1/15/2019,2019,1,15,28917351.84
1/16/2019,2019,1,16,32413294.65
1/17/2019,2019,1,17,28329699.09
1/18/2019,2019,1,18,12616821.38
1/19/2019,2019,1,19,31756157.52
1/20/2019,2019,1,20,32703142.59
1/21/2019,2019,1,21,29538905.83
1/22/2019,2019,1,22,28486580.52
1/23/2019,2019,1,23,31200162.82
1/24/2019,2019,1,24,28347521
1/25/2019,2019,1,25,12560063.82
1/26/2019,2019,1,26,33213362.75
1/27/2019,2019,1,27,33616959.33
1/28/2019,2019,1,28,32796438.19
1/29/2019,2019,1,29,32761015.71
1/30/2019,2019,1,30,35753017.59
1/31/2019,2019,1,31,34201081.8
2/1/2019,2019,2,1,14747308.02
2/2/2019,2019,2,2,30344025.16
2/3/2019,2019,2,3,34328977.92
2/4/2019,2019,2,4,33356050.63
2/5/2019,2019,2,5,34361884.45
2/6/2019,2019,2,6,36195571.75
2/7/2019,2019,2,7,29878791.97
2/8/2019,2019,2,8,13131813.31
2/9/2019,2019,2,9,37345824.62
2/10/2019,2019,2,10,38029938.15
2/11/2019,2019,2,11,35046266.17
2/12/2019,2019,2,12,34855253.9
2/13/2019,2019,2,13,35431542.05
2/14/2019,2019,2,14,30831258.65
2/15/2019,2019,2,15,14419452.17
2/16/2019,2019,2,16,33509685.48
2/17/2019,2019,2,17,32686562.83
2/18/2019,2019,2,18,31436709.34
2/19/2019,2019,2,19,32235562.07
2/20/2019,2019,2,20,34304939.87
2/21/2019,2019,2,21,28825879.56
2/22/2019,2019,2,22,14744809.92
2/23/2019,2019,2,23,33932274.54
2/24/2019,2019,2,24,34330148.13
2/25/2019,2019,2,25,32644784.52
2/26/2019,2019,2,26,34261088.97
2/27/2019,2019,2,27,41045369.2
2/28/2019,2019,2,28,40174647.65
3/1/2019,2019,3,1,11558465.77
3/2/2019,2019,3,2,27477818.86
3/3/2019,2019,3,3,31995188.93
3/4/2019,2019,3,4,34316013.76
3/5/2019,2019,3,5,34766413.92
3/6/2019,2019,3,6,35675522.92
3/7/2019,2019,3,7,32042124.88
3/8/2019,2019,3,8,15812785.13
3/9/2019,2019,3,9,38042139.02
3/10/2019,2019,3,10,40038957.33
3/11/2019,2019,3,11,37510466.03
3/12/2019,2019,3,12,37509932.89
3/13/2019,2019,3,13,41060787.93
3/14/2019,2019,3,14,36312873.64
3/15/2019,2019,3,15,16853355.52
3/16/2019,2019,3,16,42574590.34
3/17/2019,2019,3,17,39118787.97
3/18/2019,2019,3,18,38857795.66
3/19/2019,2019,3,19,38823588.81
3/20/2019,2019,3,20,40574641.61
3/21/2019,2019,3,21,36902296.17
3/22/2019,2019,3,22,16954493.03
3/23/2019,2019,3,23,41651607.39
3/24/2019,2019,3,24,40090649.17
3/25/2019,2019,3,25,40119023.92
3/26/2019,2019,3,26,34766255.52
